"name","parent_id","level_code","property_cost_method"
"قطعات مدارات فشار قوی تجهیزات ریلی","434","1","قیمت استاندارد"
"قطعات مدارات فشار ضعیف تجهیزات ریلی","434","2","قیمت استاندارد"
"قطعات سیستم هدایت و کنترل (کنسول راننده) تجهیزات ریلی","434","3","قیمت استاندارد"
"قطعات مدارات فشار قوی تجهیزات ریلی","434","1","قیمت استاندارد"
"قطعات مدارات فشار ضعیف تجهیزات ریلی","434","2","قیمت استاندارد"
"قطعات سیستم هدایت و کنترل (کنسول راننده) تجهیزات ریلی","434","3","قیمت استاندارد"
"قطعات بدنه لکوموتیو ها","435","1","قیمت استاندارد"
"قطعات بدنه ادوات خود کششی","435","2","قیمت استاندارد"
"قطعات بدنه واگن ها","435","3","قیمت استاندارد"
"قطعات بدنه تجهیزات پشتیبانی","435","4","قیمت استاندارد"
"قطعات بوژی تجهیزات ریلی","435","5","قیمت استاندارد"
"قطعات بدنه لکوموتیو ها","435","1","قیمت استاندارد"
"قطعات بدنه ادوات خود کششی","435","2","قیمت استاندارد"
"قطعات بدنه واگن ها","435","3","قیمت استاندارد"
"قطعات بدنه تجهیزات پشتیبانی","435","4","قیمت استاندارد"
"قطعات بوژی تجهیزات ریلی","435","5","قیمت استاندارد"
"قطعات ماشین آلات پشتیبانی حمل و نقل ریلی","436","1","قیمت استاندارد"
"قطعات تجهیزات پشتیبانی حمل و نقل ریلی","436","2","قیمت استاندارد"
"قطعات ابزارآلات پشتیبانی حمل و نقل ریلی","436","3","قیمت استاندارد"
"قطعات ادوات پشتیبانی حمل و نقل ریلی","436","4","قیمت استاندارد"
"قطعات ماشین آلات پشتیبانی حمل و نقل ریلی","436","1","قیمت استاندارد"
"قطعات تجهیزات پشتیبانی حمل و نقل ریلی","436","2","قیمت استاندارد"
"قطعات ابزارآلات پشتیبانی حمل و نقل ریلی","436","3","قیمت استاندارد"
"قطعات ادوات پشتیبانی حمل و نقل ریلی","436","4","قیمت استاندارد"
"قطعات تجهیزات ارتباطی خاص ریلی","437","1","قیمت استاندارد"
"قطعات علایم الکتریکی (تجهیزات هشدار دهنده و کنترل ترافیک) ریلی","437","2","قیمت استاندارد"
"قطعات تجهیزات ارتباطی خاص ریلی","437","1","قیمت استاندارد"
"قطعات علایم الکتریکی (تجهیزات هشدار دهنده و کنترل ترافیک) ریلی","437","2","قیمت استاندارد"
"قطعات تولید و انتقال قدرت تجهیزات کابلی","438","1","قیمت استاندارد"
"قطعات سیستم هیدرولیک و ترمز تجهیزات کابلی","438","2","قیمت استاندارد"
"قطعات ملزومات پشتیبانی تجهیزات حمل و نقل کابلی","438","3","قیمت استاندارد"
"قطعات بدنه ایستگاه، دکل و کابین ها","438","4","قیمت استاندارد"
"قطعات سیستم کنترل الکتریک و ارتباطی کابلی","438","5","قیمت استاندارد"
"قطعات تولید و انتقال قدرت تجهیزات کابلی","438","1","قیمت استاندارد"
"قطعات سیستم هیدرولیک و ترمز تجهیزات کابلی","438","2","قیمت استاندارد"
"قطعات ملزومات پشتیبانی تجهیزات حمل و نقل کابلی","438","3","قیمت استاندارد"
"قطعات بدنه ایستگاه، دکل و کابین ها","438","4","قیمت استاندارد"
"قطعات سیستم کنترل الکتریک و ارتباطی کابلی","438","5","قیمت استاندارد"
"محکم کننده ها","439","1","قیمت استاندارد"
"انتقال دهنده ها","439","2","قیمت استاندارد"
"جاذب ها و ضربه گیر ها","439","3","قیمت استاندارد"
"مسدودکننده ها و درزبند ها","439","4","قیمت استاندارد"
"یاتاقان ها ، بیرینگ ها و ملحقات","439","5","قیمت استاندارد"
"الکتریکی و الکترونیکی","439","7","قیمت استاندارد"
"محکم کننده ها","439","1","قیمت استاندارد"
"انتقال دهنده ها","439","2","قیمت استاندارد"
"جاذب ها و ضربه گیر ها","439","3","قیمت استاندارد"
"مسدودکننده ها و درزبند ها","439","4","قیمت استاندارد"
"یاتاقان ها ، بیرینگ ها و ملحقات","439","5","قیمت استاندارد"
"الکتریکی و الکترونیکی","439","7","قیمت استاندارد"
"قطعات شیشه آلات و پلاستیک آلات آزمایشگاهی و اقلام حجم سنجی","451","1","قیمت استاندارد"
"قطعات ابزارآلات و تجهیزات آزمایشگاهی","451","2","قیمت استاندارد"
"قطعات مبلمان آزمایشگاهی","451","5","قیمت استاندارد"
"قطعات متعلقات و ملحقات","451","8","قیمت استاندارد"
"قطعات شیشه آلات و پلاستیک آلات آزمایشگاهی و اقلام حجم سنجی","451","1","قیمت استاندارد"
"قطعات ابزارآلات و تجهیزات آزمایشگاهی","451","2","قیمت استاندارد"
"قطعات مبلمان آزمایشگاهی","451","5","قیمت استاندارد"
"قطعات متعلقات و ملحقات","451","8","قیمت استاندارد"
"قطعات تجهیزات مرتبط با علم شیمی","452","1","قیمت استاندارد"
"قطعات تجهیزات مرتبط با علم فیزیک","452","2","قیمت استاندارد"
"قطعات تجهیزات مرتبط با علم زیست شناسی و بیوشیمی","452","3","قیمت استاندارد"
"قطعات تجهیزات سنجش و ارزیابی کاربردی","452","7","قیمت استاندارد"
"قطعات متعلقات و ملحقات تجهیزات علمی سنجش و ارزیابی","452","8","قیمت استاندارد"
"قطعات تجهیزات مرتبط با علم شیمی","452","1","قیمت استاندارد"
"قطعات تجهیزات مرتبط با علم فیزیک","452","2","قیمت استاندارد"
"قطعات تجهیزات مرتبط با علم زیست شناسی و بیوشیمی","452","3","قیمت استاندارد"
"قطعات تجهیزات سنجش و ارزیابی کاربردی","452","7","قیمت استاندارد"
"قطعات متعلقات و ملحقات تجهیزات علمی سنجش و ارزیابی","452","8","قیمت استاندارد"
"قطعات تجهیزات تغییر شکل و آماده سازی نمونه آزمایشگاهی به روش فیزیکی","453","1","قیمت استاندارد"
"قطعات تجهیزات تغییر حالت و آماده سازی نمونه آزمایشگاهی به روش غیرفیزیکی","453","2","قیمت استاندارد"
"قطعات تجهیزات آماده سازی شرایط آزمایش ، محیط و وسایل آزمایشگاه","453","3","قیمت استاندارد"
"قطعات تجهیزات حرارتی و برودتی آزمایشگاهی","453","4","قیمت استاندارد"
"تجهیزات جداسازی ، فیلتراسیون و خالص سازی آزمایشگاهی","453","5","قیمت استاندارد"
"قطعات تجهیزات انتقال ، نگهداری و نمونه برداری آزمایشگاهی","453","6","قیمت استاندارد"
"قطعات متعلقات و ملحقات تجهیزات آماده سازی نمونه ، شرایط آزمایش و محیط آزمایشگاه","453","8","قیمت استاندارد"
"سایر","453","9","قیمت استاندارد"
"قطعات تجهیزات تغییر شکل و آماده سازی نمونه آزمایشگاهی به روش فیزیکی","453","1","قیمت استاندارد"
"قطعات تجهیزات تغییر حالت و آماده سازی نمونه آزمایشگاهی به روش غیرفیزیکی","453","2","قیمت استاندارد"
"قطعات تجهیزات آماده سازی شرایط آزمایش ، محیط و وسایل آزمایشگاه","453","3","قیمت استاندارد"
"قطعات تجهیزات حرارتی و برودتی آزمایشگاهی","453","4","قیمت استاندارد"
"تجهیزات جداسازی ، فیلتراسیون و خالص سازی آزمایشگاهی","453","5","قیمت استاندارد"
"قطعات تجهیزات انتقال ، نگهداری و نمونه برداری آزمایشگاهی","453","6","قیمت استاندارد"
"قطعات متعلقات و ملحقات تجهیزات آماده سازی نمونه ، شرایط آزمایش و محیط آزمایشگاه","453","8","قیمت استاندارد"
"سایر","453","9","قیمت استاندارد"
"قطعات تجهیزات مرتبط با علوم پایه","457","1","قیمت استاندارد"
"قطعات تجهیزات مرتبط با علوم فنی مهندسی","457","2","قیمت استاندارد"
"قطعات تجهیزات مرتبط با علوم زیستی و جانوری","457","3","قیمت استاندارد"
"قطعات تجهیزات آزمایشگاهی مرتبط با علوم کشاورزی و منابع طبیعی","457","4","قیمت استاندارد"
"قطعات متعلقات و ملحقات تجهیزات با کاربرد خاص","457","8","قیمت استاندارد"
"قطعات تجهیزات مرتبط با علوم پایه","457","1","قیمت استاندارد"
"قطعات تجهیزات مرتبط با علوم فنی مهندسی","457","2","قیمت استاندارد"
"قطعات تجهیزات مرتبط با علوم زیستی و جانوری","457","3","قیمت استاندارد"
"قطعات تجهیزات آزمایشگاهی مرتبط با علوم کشاورزی و منابع طبیعی","457","4","قیمت استاندارد"
"قطعات متعلقات و ملحقات تجهیزات با کاربرد خاص","457","8","قیمت استاندارد"
"محکم کننده ها","459","1","قیمت استاندارد"
"اتصالات و انتقال دهنده ها","459","2","قیمت استاندارد"
"جاذب ها و ضربه گیر ها","459","3","قیمت استاندارد"
"مسدودکننده ها و درزبند ها","459","4","قیمت استاندارد"
"یاتاقان ها ، بیرینگ ها و ملحقات","459","5","قیمت استاندارد"
"الکتریکی و الکترونیکی","459","7","قیمت استاندارد"
"محکم کننده ها","459","1","قیمت استاندارد"
"اتصالات و انتقال دهنده ها","459","2","قیمت استاندارد"
"جاذب ها و ضربه گیر ها","459","3","قیمت استاندارد"
"مسدودکننده ها و درزبند ها","459","4","قیمت استاندارد"
"یاتاقان ها ، بیرینگ ها و ملحقات","459","5","قیمت استاندارد"
"الکتریکی و الکترونیکی","459","7","قیمت استاندارد"
"قطعات سازهای سیمی","471","1","قیمت استاندارد"
"قطعات سازهای کوبه ای","471","2","قیمت استاندارد"
"قطعات سازهای بادی","471","3","قیمت استاندارد"
"قطعات سازهای الکتریکی و الکترومکانیکی","471","4","قیمت استاندارد"
"قطعات عمومی ملزومات موسیقی","471","9","قیمت استاندارد"
"قطعات سازهای سیمی","471","1","قیمت استاندارد"
"قطعات سازهای کوبه ای","471","2","قیمت استاندارد"
"قطعات سازهای بادی","471","3","قیمت استاندارد"
"قطعات سازهای الکتریکی و الکترومکانیکی","471","4","قیمت استاندارد"
"قطعات عمومی ملزومات موسیقی","471","9","قیمت استاندارد"
"قطعات ملزومات ورزش های انفرادی","472","1","قیمت استاندارد"
"قطعات ملزومات ورزش های دونفره","472","2","قیمت استاندارد"
"قطعات ملزومات ورزش های گروهی","472","3","قیمت استاندارد"
"قطعات ملزومات ورزش های ترکیبی","472","4","قیمت استاندارد"
"قطعات عمومی ملزومات ورزشی","472","9","قیمت استاندارد"
"قطعات ملزومات ورزش های انفرادی","472","1","قیمت استاندارد"
"قطعات ملزومات ورزش های دونفره","472","2","قیمت استاندارد"
"قطعات ملزومات ورزش های گروهی","472","3","قیمت استاندارد"
"قطعات ملزومات ورزش های ترکیبی","472","4","قیمت استاندارد"
"قطعات عمومی ملزومات ورزشی","472","9","قیمت استاندارد"
"قطعات اسباب بازی","473","1","قیمت استاندارد"
"قطعات قطعات وسایل تفریحی","473","2","قیمت استاندارد"
"قطعات لوازم شکار","473","3","قیمت استاندارد"
"قطعات عمومی ملزومات تفریحی و شکار و بازی","473","9","قیمت استاندارد"
"قطعات اسباب بازی","473","1","قیمت استاندارد"
"قطعات قطعات وسایل تفریحی","473","2","قیمت استاندارد"
"قطعات لوازم شکار","473","3","قیمت استاندارد"
"قطعات عمومی ملزومات تفریحی و شکار و بازی","473","9","قیمت استاندارد"
"قطعات منفرد محصولات انتشاری","474","6","قیمت استاندارد"
"قطعات مرکب محصولات انتشاری","474","7","قیمت استاندارد"
"مجموعه قطعات محصولات انتشاری","474","8","قیمت استاندارد"
"قطعات ملزومات آموزش علوم پایه","475","1","قیمت استاندارد"
"قطعات ملزومات آموزش علوم انسانی","475","2","قیمت استاندارد"
"قطعات ملزومات آموزش مهارت های زندگی","475","3","قیمت استاندارد"
"قطعات ملزومات آموزش پزشکی و علوم زیستی","475","4","قیمت استاندارد"
"قطعات ملزومات آموزش مهارت های ایمنی و فنی و حرفه ای","475","6","قیمت استاندارد"
"قطعات متعلقات و ملحقات آموزشی","475","8","قیمت استاندارد"
"قطعات عمومی ملزومات آموزشی","475","9","قیمت استاندارد"
"قطعات ملزومات آموزش علوم پایه","475","1","قیمت استاندارد"
"قطعات ملزومات آموزش علوم انسانی","475","2","قیمت استاندارد"
"قطعات ملزومات آموزش مهارت های زندگی","475","3","قیمت استاندارد"
"قطعات ملزومات آموزش پزشکی و علوم زیستی","475","4","قیمت استاندارد"
"قطعات ملزومات آموزش مهارت های ایمنی و فنی و حرفه ای","475","6","قیمت استاندارد"
"قطعات متعلقات و ملحقات آموزشی","475","8","قیمت استاندارد"
"قطعات عمومی ملزومات آموزشی","475","9","قیمت استاندارد"
"قطعات ملزومات انفرادی","501","1","قیمت استاندارد"
"قطعات ملزومات و تجهیزات ویژه","501","2","قیمت استاندارد"
"قطعات ملزومات و تجهیزات گروهی","501","3","قیمت استاندارد"
"قطعات پوشش ها و وسایل استتار","501","4","قیمت استاندارد"
"قطعات ملزومات و تجهیزات آموزشی","501","5","قیمت استاندارد"
"قطعات ملحقات و متعلقات ملزومات انفرادی و گروهی","501","6","قیمت استاندارد"
"قطعات تجهیزات و ابزارآلات تست و تعمیر کارگاهی ملزومات انفرادی و گروهی","501","7","قیمت استاندارد"
"قطعات لباس های ویژه نظامی و شبه نظامی","501","8","قیمت استاندارد"
"قطعات عمومی ملزومات انفردای و گروهی","501","9","قیمت استاندارد"
"قطعات ملزومات انفرادی","501","1","قیمت استاندارد"
"قطعات ملزومات و تجهیزات ویژه","501","2","قیمت استاندارد"
"قطعات ملزومات و تجهیزات گروهی","501","3","قیمت استاندارد"
"قطعات پوشش ها و وسایل استتار","501","4","قیمت استاندارد"
"قطعات ملزومات و تجهیزات آموزشی","501","5","قیمت استاندارد"
"قطعات ملحقات و متعلقات ملزومات انفرادی و گروهی","501","6","قیمت استاندارد"
"قطعات تجهیزات و ابزارآلات تست و تعمیر کارگاهی ملزومات انفرادی و گروهی","501","7","قیمت استاندارد"
"قطعات لباس های ویژه نظامی و شبه نظامی","501","8","قیمت استاندارد"
"قطعات عمومی ملزومات انفردای و گروهی","501","9","قیمت استاندارد"
"قطعات مهمات سلاح های سبک","502","1","قیمت استاندارد"
"قطعات مهمات خمپاره انداز ها و سلاح های بدون عقب نشینی","502","2","قیمت استاندارد"
"قطعات مهمات تانک ها و توپخانه","502","3","قیمت استاندارد"
"قطعات مهمات راکت انداز ها","502","4","قیمت استاندارد"
"قطعات بمب ها و اژدر ها","502","5","قیمت استاندارد"
"قطعات مین ها و نارنجک ها","502","6","قیمت استاندارد"
"قطعات مهمات کاذب ، علامت دهنده و مراسم","502","7","قیمت استاندارد"
"قطعات ملزومات تخریب ، کشف و خنثی سازی مهمات _ تجهیزات و ابزارآلات تست و تعمیر مهمات","502","8","قیمت استاندارد"
"قطعات ملحقات و متعلقات مهمات","502","9","قیمت استاندارد"
"قطعات مهمات سلاح های سبک","502","1","قیمت استاندارد"
"قطعات مهمات خمپاره انداز ها و سلاح های بدون عقب نشینی","502","2","قیمت استاندارد"
"قطعات مهمات تانک ها و توپخانه","502","3","قیمت استاندارد"
"قطعات مهمات راکت انداز ها","502","4","قیمت استاندارد"
"قطعات بمب ها و اژدر ها","502","5","قیمت استاندارد"
"قطعات مین ها و نارنجک ها","502","6","قیمت استاندارد"
"قطعات مهمات کاذب ، علامت دهنده و مراسم","502","7","قیمت استاندارد"
"قطعات ملزومات تخریب ، کشف و خنثی سازی مهمات _ تجهیزات و ابزارآلات تست و تعمیر مهمات","502","8","قیمت استاندارد"
"قطعات ملحقات و متعلقات مهمات","502","9","قیمت استاندارد"
"قطعات سلاح های انفرادی","503","1","قیمت استاندارد"
"قطعات سلاح های خدمه دار","503","2","قیمت استاندارد"
"قطعات توپخانه و راکت انداز ها و پرتاب کننده های زمین پایه","503","3","قیمت استاندارد"
"قطعات توپ ها راکت انداز ها و پرتاب کننده های شناور ها","503","4","قیمت استاندارد"
"قطعات توپ ها راکت انداز ها و پرتاب کننده های پرنده ها","503","5","قیمت استاندارد"
"قطعات تجهیزات و ابزارآلات تعمیر و نگهداری جنگ افزار ها","503","6","قیمت استاندارد"
"قطعات متعلقات و ملحقات جنگ افزار","503","7","قیمت استاندارد"
"قطعات عمومی جنگ افزار ها","503","9","قیمت استاندارد"
"قطعات سلاح های انفرادی","503","1","قیمت استاندارد"
"قطعات سلاح های خدمه دار","503","2","قیمت استاندارد"
"قطعات توپخانه و راکت انداز ها و پرتاب کننده های زمین پایه","503","3","قیمت استاندارد"
"قطعات توپ ها راکت انداز ها و پرتاب کننده های شناور ها","503","4","قیمت استاندارد"
"قطعات توپ ها راکت انداز ها و پرتاب کننده های پرنده ها","503","5","قیمت استاندارد"
"قطعات تجهیزات و ابزارآلات تعمیر و نگهداری جنگ افزار ها","503","6","قیمت استاندارد"
"قطعات متعلقات و ملحقات جنگ افزار","503","7","قیمت استاندارد"
"قطعات عمومی جنگ افزار ها","503","9","قیمت استاندارد"
"قطعات غیر خودرویی تجهیزات زرهی و خودرو های تاکتیکی","504","1","قیمت استاندارد"
"قطعات تجهیزات اپتیک نظامی","504","2","قیمت استاندارد"
"قطعات ملحقات و متعلقات تجهیزات زرهی خودرویی و اپتیک نظامی","504","3","قیمت استاندارد"
"قطعات تجهیزات و ابزارآلات تست و تعمیر کارگاهی زرهی خودرویی و اپتیک نظامی","504","4","قیمت استاندارد"
"قطعات عمومی تجهیزات زرهی خودرویی و اپتیک نظامی","504","9","قیمت استاندارد"
"قطعات غیر خودرویی تجهیزات زرهی و خودرو های تاکتیکی","504","1","قیمت استاندارد"
"قطعات تجهیزات اپتیک نظامی","504","2","قیمت استاندارد"
"قطعات ملحقات و متعلقات تجهیزات زرهی خودرویی و اپتیک نظامی","504","3","قیمت استاندارد"
"قطعات تجهیزات و ابزارآلات تست و تعمیر کارگاهی زرهی خودرویی و اپتیک نظامی","504","4","قیمت استاندارد"
"قطعات عمومی تجهیزات زرهی خودرویی و اپتیک نظامی","504","9","قیمت استاندارد"
"قطعات تجهیزات نظامی خاص پرنده ها","505","1","قیمت استاندارد"
"قطعات موشک ها","505","2","قیمت استاندارد"
"قطعات عمومی تجهیزات هوایی و تجهیزات موشکی","505","9","قیمت استاندارد"
"قطعات تجهیزات نظامی خاص پرنده ها","505","1","قیمت استاندارد"
"قطعات موشک ها","505","2","قیمت استاندارد"
"قطعات عمومی تجهیزات هوایی و تجهیزات موشکی","505","9","قیمت استاندارد"
"قطعات کنترل و هدایت تسلیحات مربوط به شناور ها","506","1","قیمت استاندارد"
"قطعات تجهیزات مخابراتی ، الکترونیکی و راداری نظامی پرنده ها","506","2","قیمت استاندارد"
"قطعات رادار های سونار شناور ها","506","3","قیمت استاندارد"
"قطعات تجهیزات کاری شناور های نظامی","506","4","قیمت استاندارد"
"قطعات عمومی کشتی ها و شناور های جنگی","506","9","قیمت استاندارد"
"قطعات کنترل و هدایت تسلیحات مربوط به شناور ها","506","1","قیمت استاندارد"
"قطعات تجهیزات مخابراتی ، الکترونیکی و راداری نظامی پرنده ها","506","2","قیمت استاندارد"
"قطعات رادار های سونار شناور ها","506","3","قیمت استاندارد"
"قطعات تجهیزات کاری شناور های نظامی","506","4","قیمت استاندارد"
"قطعات عمومی کشتی ها و شناور های جنگی","506","9","قیمت استاندارد"
"قطعات آشکارساز ها ، نمونه بردار ها و آزمایشگاه ها","507","1","قیمت استاندارد"
"قطعات هشدار دهنده ها","507","2","قیمت استاندارد"
"قطعات تجهیزات محافظ جنگ های نوین","507","3","قیمت استاندارد"
"قطعات تجهیزات رفع آلودگی جنگ های نوین","507","4","قیمت استاندارد"
"قطعات پناهگاه ها و تجهیزات پناهگاهی جنگ های نوین","507","5","قیمت استاندارد"
"قطعات تجهیزات امداد و حمل","507","6","قیمت استاندارد"
"قطعات تجهیزات و ابزارآلات تست و تعمیر کارگاهی","507","7","قیمت استاندارد"
"قطعات متعلقات و ملحقات تجهیزات جنگ نوین","507","8","قیمت استاندارد"
"قطعات عمومی تجهیزات جنگ های نوین","507","9","قیمت استاندارد"
"قطعات آشکارساز ها ، نمونه بردار ها و آزمایشگاه ها","507","1","قیمت استاندارد"
"قطعات هشدار دهنده ها","507","2","قیمت استاندارد"
"قطعات تجهیزات محافظ جنگ های نوین","507","3","قیمت استاندارد"
"قطعات تجهیزات رفع آلودگی جنگ های نوین","507","4","قیمت استاندارد"
"قطعات پناهگاه ها و تجهیزات پناهگاهی جنگ های نوین","507","5","قیمت استاندارد"
"قطعات تجهیزات امداد و حمل","507","6","قیمت استاندارد"
"قطعات تجهیزات و ابزارآلات تست و تعمیر کارگاهی","507","7","قیمت استاندارد"
"قطعات متعلقات و ملحقات تجهیزات جنگ نوین","507","8","قیمت استاندارد"
"قطعات عمومی تجهیزات جنگ های نوین","507","9","قیمت استاندارد"
"قطعات تجهیزات جنگ الکترونیک","508","1","قیمت استاندارد"
"قطعات پردازشگر ها و تجهیزات شبکه های ارتباطی","508","2","قیمت استاندارد"
"قطعات رادار های نظامی","508","3","قیمت استاندارد"
"قطعات ملحقات و متعلقات سیستم های مخابراتی","508","4","قیمت استاندارد"
"قطعات تجهیزات و ابزارآلات تست و تعمیر کارگاهی سیستم های مخابراتی","508","5","قیمت استاندارد"
"قطعات عمومی سیستم های مخابراتی و الکترونیکی","508","9","قیمت استاندارد"
"قطعات اتصال دهنده","521","1","قیمت استاندارد"
"قطعات روان کننده حرکت و انتقال دهنده قدرت","521","2","قیمت استاندارد"
"سایر قطعات جنرال مکانیکی","521","4","قیمت استاندارد"
"ملزومات تامین سیال پرفشار سیستم های هیدرولیکی","522","1","قیمت استاندارد"
"شیر های سیستم های هیدرولیکی","522","2","قیمت استاندارد"
"محرک های سیستمهای هیدرولیکی","522","3","قیمت استاندارد"
"اتصالات سیستم های هیدرولیکی","522","4","قیمت استاندارد"
"قطعات ملزومات تامین سیال پرفشار سیستم های هیدرولیکی","522","9","قیمت استاندارد"
"ملزومات تامین هوای فشرده سیستم های پنوماتیکی","523","1","قیمت استاندارد"
"شیر های سیستم های پنوماتیکی","523","2","قیمت استاندارد"
"عملگر های سیستم های پنوماتیکی","523","3","قیمت استاندارد"
"اتصالات سیستم های پنوماتیکی","523","4","قیمت استاندارد"
"قطعات ملزومات تامین هوای فشرده سیستم های پنوماتیکی","523","8","قیمت استاندارد"
"المان های پایه","524","1","قیمت استاندارد"
"نیمه هادی ها و لامپ های خلاء","524","2","قیمت استاندارد"
"مبدل ها","524","3","قیمت استاندارد"
"نمایشگر ها","524","4","قیمت استاندارد"
"کانکتور ها و سوییچ ها","524","6","قیمت استاندارد"
"قطعات مربوط قطعات جنرال الکتریکی و الکترونیکی","524","9","قیمت استاندارد"
"قطعات تجهیزات پزشکی و آزمایشگاه های تشخیص طبی","533","1","قیمت استاندارد"
"قطعات ملزومات پزشکی","533","2","قیمت استاندارد"
"قطعات ابزار پزشکی","533","3","قیمت استاندارد"
"قطعات تاسیسات پزشکی","533","4","قیمت استاندارد"
"قطعات تجهیزات آزمایشگاه تشخیص طبی","533","5","قیمت استاندارد"
"قطعات عمومی اقلام پزشکی","533","9","قیمت استاندارد"
"قطعات تجهیرات دندانپزشکی","534","1","قیمت استاندارد"
"قطعات ملزومات و ابزارهای دستی دندانپزشکی","534","3","قیمت استاندارد"
"قطعات مبلمان دندانپزشکی","534","5","قیمت استاندارد"
"قطعات لوازم بهداشت عمومی","536","2","قیمت استاندارد"
"قطعات لوازم بهداشت حرفه ای","536","4","قیمت استاندارد"
"قطعات لوازم بهداشت عمومی","536","2","قیمت استاندارد"
"قطعات لوازم بهداشت حرفه ای","536","4","قیمت استاندارد"
"قطعات تجهیزات دامپزشکی","537","3","قیمت استاندارد"
"قطعات تجهیزات دامپزشکی","537","3","قیمت استاندارد"
"محکم کننده ها","539","1","قیمت استاندارد"
"اتصالات و انتقال دهنده ها","539","2","قیمت استاندارد"
"جاذب ها و ضربه گیر ها","539","3","قیمت استاندارد"
"مسدودکننده ها و درزبند ها","539","4","قیمت استاندارد"
"یاتاقان ها ، بیرینگ ها و ملحقات","539","5","قیمت استاندارد"
"الکتریکی و الکترونیکی","539","7","قیمت استاندارد"
"محکم کننده ها","539","1","قیمت استاندارد"
"اتصالات و انتقال دهنده ها","539","2","قیمت استاندارد"
"جاذب ها و ضربه گیر ها","539","3","قیمت استاندارد"
"مسدودکننده ها و درزبند ها","539","4","قیمت استاندارد"
"یاتاقان ها ، بیرینگ ها و ملحقات","539","5","قیمت استاندارد"
"الکتریکی و الکترونیکی","539","7","قیمت استاندارد"
"قطعات منفرد مبلمان","541","6","قیمت استاندارد"
"قطعات مرکب مبلمان","541","7","قیمت استاندارد"
"مجموعه قطعات مبلمان","541","8","قیمت استاندارد"
"قطعات نوشت افزار","543","1","قیمت استاندارد"
"قطعات نگهدارنده ها ، محفظه ها و ورق گیر ها","543","4","قیمت استاندارد"
"قطعات تجهیزات اداری","543","5","قیمت استاندارد"
"قطعات برنده ها","543","7","قیمت استاندارد"
"قطعات سایر لوازم التحریر","543","9","قیمت استاندارد"
"قطعات نوشت افزار","543","1","قیمت استاندارد"
"قطعات نگهدارنده ها ، محفظه ها و ورق گیر ها","543","4","قیمت استاندارد"
"قطعات تجهیزات اداری","543","5","قیمت استاندارد"
"قطعات برنده ها","543","7","قیمت استاندارد"
"قطعات سایر لوازم التحریر","543","9","قیمت استاندارد"
"قطعات پوشاک","544","4","قیمت استاندارد"
"قطعات کیف و کفش","544","5","قیمت استاندارد"
"قطعات متعلقات پوشاک و کیف و کفش","544","6","قیمت استاندارد"
"قطعات پوشاک","544","4","قیمت استاندارد"
"قطعات کیف و کفش","544","5","قیمت استاندارد"
"قطعات متعلقات پوشاک و کیف و کفش","544","6","قیمت استاندارد"
"قطعات لوازم حرارتی و برودتی","545","1","قیمت استاندارد"
"قطعات دستگاه ها و لوازم تمیز کاری و شستشو","545","2","قیمت استاندارد"
"قطعات اشیاء و لوازم تزئینی ، روشنایی و کفپوش ها","545","3","قیمت استاندارد"
"قطعات لوازم دوزندگی و بافندگی","545","4","قیمت استاندارد"
"قطعات لوازم ویژه کودکان و وسایل خواب","545","6","قیمت استاندارد"
"قطعات لوازم حرارتی و برودتی","545","1","قیمت استاندارد"
"قطعات دستگاه ها و لوازم تمیز کاری و شستشو","545","2","قیمت استاندارد"
"قطعات اشیاء و لوازم تزئینی ، روشنایی و کفپوش ها","545","3","قیمت استاندارد"
"قطعات لوازم دوزندگی و بافندگی","545","4","قیمت استاندارد"
"قطعات لوازم ویژه کودکان و وسایل خواب","545","6","قیمت استاندارد"
"قطعات لوازم نگهداری غذا و فرآوری آب","546","1","قیمت استاندارد"
"قطعات دستگاه ها ، وسایل و ظروف پخت و پز","546","2","قیمت استاندارد"
"قطعات دستگاه ها و وسایل آماده سازی غذا","546","3","قیمت استاندارد"
"قطعات لوازم و وسایل سرو غذا","546","4","قیمت استاندارد"
"قطعات متفرقه لوازم آشپزخانه","546","9","قیمت استاندارد"
"قطعات لوازم نگهداری غذا و فرآوری آب","546","1","قیمت استاندارد"
"قطعات دستگاه ها ، وسایل و ظروف پخت و پز","546","2","قیمت استاندارد"
"قطعات دستگاه ها و وسایل آماده سازی غذا","546","3","قیمت استاندارد"
"قطعات لوازم و وسایل سرو غذا","546","4","قیمت استاندارد"
"قطعات متفرقه لوازم آشپزخانه","546","9","قیمت استاندارد"
"قطعات ملزومات خدمات شخصی","547","1","قیمت استاندارد"
"قطعات ملزومات خدمات محیطی","547","2","قیمت استاندارد"
"قطعات ملزومات خدمات معنوی","547","4","قیمت استاندارد"
"قطعات ملزومات خدمات مالی ، اداری","547","5","قیمت استاندارد"
"قطعات ملزومات سایر خدمات","547","9","قیمت استاندارد"
"قطعات ملزومات خدمات شخصی","547","1","قیمت استاندارد"
"قطعات ملزومات خدمات محیطی","547","2","قیمت استاندارد"
"قطعات ملزومات خدمات معنوی","547","4","قیمت استاندارد"
"قطعات ملزومات خدمات مالی ، اداری","547","5","قیمت استاندارد"
"قطعات ملزومات سایر خدمات","547","9","قیمت استاندارد"
"محکم کننده ها","549","1","قیمت استاندارد"
"اتصالات و انتقال دهنده ها","549","2","قیمت استاندارد"
